,NAME,time,mean_monthly_temp,lot,lon
219,"FASA, IR",2000-12-01T00:00:00.000000000,12.592060811099543,28.89,53.72
220,"LAR, IR",2000-12-01T00:00:00.000000000,17.823964270200975,27.67,54.38
221,"FARSI ISLAND, IR",2000-12-01T00:00:00.000000000,23.25820678425282,27.98,50.18
222,"BAFT, IR",2000-12-01T00:00:00.000000000,8.855387597629544,29.23,56.57
223,"GACHSARAN, IR",2000-12-01T00:00:00.000000000,15.952872245904416,30.34,50.83
224,"KHARG, IR",2000-12-01T00:00:00.000000000,22.14125485624595,29.27,50.27
225,"ASALOYEH, IR",2000-12-01T00:00:00.000000000,22.603390946901698,27.48,52.62
226,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-12-01T00:00:00.000000000,10.059478547458639,29.54,52.59
227,"PERSIAN GULF AIRPORT, IR",2000-12-01T00:00:00.000000000,-9999.99,27.37,52.73
228,"BANDAR ABBASS INTERNATIONAL, IR",2001-01-01T00:00:00.000000000,19.339709247613996,27.22,56.38
229,"ABADEH, IR",2001-01-01T00:00:00.000000000,4.637108392767459,31.18,52.67
230,"KERMAN, IR",2001-01-01T00:00:00.000000000,6.896722939947949,30.27,56.95
231,"RAFSANJAN, IR",2001-01-01T00:00:00.000000000,7.113922629561102,30.3,56.05
232,"LAMERD, IR",2001-01-01T00:00:00.000000000,16.8501026640256,27.37,53.19
233,"SIRJAN, IR",2001-01-01T00:00:00.000000000,7.911924881781829,29.47,55.72
234,"BUSHEHR, IR",2001-01-01T00:00:00.000000000,17.932785682344615,28.95,50.85
235,"YASOGE, IR",2001-01-01T00:00:00.000000000,4.317764170266173,30.67,51.58
236,"JAM, IR",2001-01-01T00:00:00.000000000,17.457957477665786,27.82,52.35
237,"BANDAR E DAYYER, IR",2001-01-01T00:00:00.000000000,18.688569734749024,27.83,51.93
238,"FASA, IR",2001-01-01T00:00:00.000000000,9.496938063720677,28.89,53.72
239,"LAR, IR",2001-01-01T00:00:00.000000000,14.121785679305617,27.67,54.38
240,"FARSI ISLAND, IR",2001-01-01T00:00:00.000000000,19.550808812485684,27.98,50.18
241,"BAFT, IR",2001-01-01T00:00:00.000000000,6.181099071196286,29.23,56.57
242,"GACHSARAN, IR",2001-01-01T00:00:00.000000000,12.281718646886759,30.34,50.83
